DATE_pos	DATE	NUM
2022-06-04T07:00:00Z	2022-06-04	1
2022-06-05T07:00:00Z	2022-06-05	2
2022-06-06T07:00:00Z	2022-06-06	3
2022-06-07T07:00:00Z	2022-06-07	4
2022-06-08T07:00:00Z	2022-06-08	5
2022-06-09T07:00:00Z	2022-06-09	6
2022-06-10T07:00:00Z	2022-06-10	7
2022-06-11T07:00:00Z	2022-06-11	8
2022-06-12T07:00:00Z	2022-06-12	9
2022-06-13T07:00:00Z	2022-06-13	10
2022-06-14T07:00:00Z	2022-06-14	11
2022-06-15T07:00:00Z	2022-06-15	12
2022-06-16T07:00:00Z	2022-06-16	13
2022-06-17T07:00:00Z	2022-06-17	14
2022-06-18T07:00:00Z	2022-06-18	15
2022-06-19T07:00:00Z	2022-06-19	16
2022-06-20T07:00:00Z	2022-06-20	17
2022-06-21T07:00:00Z	2022-06-21	18
2022-06-22T07:00:00Z	2022-06-22	19
2022-06-23T07:00:00Z	2022-06-23	20
2022-06-24T07:00:00Z	2022-06-24	21
2022-06-25T07:00:00Z	2022-06-25	22
2022-06-26T07:00:00Z	2022-06-26	23
2022-06-27T07:00:00Z	2022-06-27	24
2022-06-28T07:00:00Z	2022-06-28	25
2022-06-29T07:00:00Z	2022-06-29	26
2022-06-30T07:00:00Z	2022-06-30	27
2022-07-01T07:00:00Z	2022-07-01	28
2022-07-02T07:00:00Z	2022-07-02	29
2022-07-03T07:00:00Z	2022-07-03	30
2022-07-04T07:00:00Z	2022-07-04	31
2022-07-05T07:00:00Z	2022-07-05	32
2022-07-06T07:00:00Z	2022-07-06	33
2022-07-07T07:00:00Z	2022-07-07	34
2022-07-08T07:00:00Z	2022-07-08	35
2022-07-09T07:00:00Z	2022-07-09	36
2022-07-10T07:00:00Z	2022-07-10	37
2022-07-11T07:00:00Z	2022-07-11	38
2022-07-12T07:00:00Z	2022-07-12	39
2022-07-13T07:00:00Z	2022-07-13	40
2022-07-14T07:00:00Z	2022-07-14	41
