WORDS	DES	URL
vents	Hydrothermal vents in the deep-sea are sites where seawater enters the Earth's crust, interacts with hot rocks, and then reemerges as chemically-modified hot water.	https://www.youtube.com/watch?v=xFAu8CqCtR8
graze	A major goal of our work at Axial Seamount is to obtain rates of grazing, specifically where heterotrophic microbial eukaryotes graze, or consume, the vent-associated bacteria and archaea coming out of the seafloor at diffuse flow hydrothermal vents.	https://shu251.github.io/sarah-hu/images/GR-comic-protistsession-updated.png
depth	The depth of active venting at Axial Seamount is right around 1500 meters (4900 feet)	https://www.youtube.com/watch?v=3nwg2T8i_48&list=PLxfJEARDJfRztdwC9gMCCVT1NaBubyFkw&index=9
magma	Magma is the molten or partially molten rock located in Earth’s crust and serves as the 'feeder' system for lava to the seafloor. Basically, eruptions occur after magma accumulates in the magma chamber and is ejected or extruded onto the seafloor once the pressure of magma and gasses accumulate and cannot contain the overlying rock. Using some very cool seismic imaging tools, the magma chamber beneath Axial Seamount has even been visualized! 	https://www.nytimes.com/2019/12/03/science/axial-volcano-mapping.html
cable	Axial Seamount is home to the NSF supported Ocean Observatory Initiative (OOI) Regional Cabled Array (RCA), so there is continuous power supplied to instruments at the volcano	https://oceanobservatories.org/regional-cabled-array/
rates	We are interested in how fast microbes grow and die in venting fluids at Axial Seamount. For example, at what rate (cells per hour) do protists consume bacteria? Or, at what rate (carbon per minute) to cells fix CO2?	https://www.youtube.com/watch?v=4JeH6TTwBtU&list=PLoPslT-m1sgQ1vz4Jga9Ix04YJKtGoAt3&index=21
ships	We cannot do our work without amazing research ships like the R/V Thompson. At 274 feet, she is our home away from home and provides everything the team needs, from excellent science support to delicious dinners to cozy cabins.	https://www.youtube.com/watch?v=QtDiSeaXvQU&list=PLRk9nnqFxr2_r6bbfCVBvmsWtUI279XwN&index=4
mixes	Deep seawater enters into the crust, gets chemically modified at high temperature, and then returns to the seafloor. During this circulation path, it mixes with seawater, especially on its way out. The difference between the black smokers we see at Axial and the diffuse vents is that the smokers don't mix until they exit the seafloor, whereas the diffuse fluids have already mixed with seawater in the crust.	https://www.youtube.com/watch?v=xFAu8CqCtR8
casts	We will collect seawater from the plume and background environment by 'CTD cast'. CTD stands for conductivity, temperature, and depth, and refers to a package of electronic instruments that measure these properties, connected to water bottles to collect samples.	https://www.youtube.com/watch?v=7N2UsPDczTw
niche	In biology, we use the word niche to describe the specific environment an organism lives in, such as its temperature or physical surroundings, as well as the role the organism plays in the community. For example, at Axial, there are microbes that can fix inorganic carbon into carbon using chemical energy from the vent fluids- these organisms are called autotrophs and their niche ranges from cool to very warm niches within the vent ecosystem.	https://www.youtube.com/watch?v=83B3njrUDq4&list=PLxfJEARDJfRztdwC9gMCCVT1NaBubyFkw&index=6
axial	Axial Seamount is an active submarine volcano about 300 miles off the coast of Oregon. First discovered in 198X, it is the best studied underwater volcano in the world and last erupted in 2015.	https://www.pmel.noaa.gov/eoi/axial_site.html
media	To study microorganisms in our laboratory, we try to isolate them from their natural habitat and transfer them to 'growth media' that ideally contains all the nutrients and resources they need to survive. We spend lots of time making different media types that will target certain microbial species. At Axial Seamount, several of us have brought various media to try to isolate specific autotrophic and heterotrophic microbes.	https://www.youtube.com/watch?v=AYDnxbk6XxM&list=PLoPslT-m1sgSAut0HfovdqVhpDqMI7MmL&index=9
crabs	While working at Axial Seamount, you might see Spider Crabs, a major predators and scavenger. They hang out on lava flow and eat vent animals such as tube worms and limpets. 	https://novae.ocean.washington.edu/story/Crustaceans_at_Axial#:~:text=Spider%20Crabs%20are%20major%20predators,the%20seafloor%20to%20their%20mouths.
worms	When we visit the hydrothermal vents at Axial, one of the animals we will see are tubeworms. Tubeworms, like Ridgeia piscesae, form clusters near venting fluid with high sulfide concentrations and are at higher temperatures. Tubeworms thrive through a symbiotic relationship with chemoautotrophic bacteria.	https://www.youtube.com/watch?v=qK5dXMHSIu8
micro	Our main research themes at in the #protatax cruise all involve microorganisms! Mainly the bacteria, archaea, and microbial eukaryotes running the vent associated food web.	https://www.youtube.com/watch?v=83B3njrUDq4&list=PLxfJEARDJfRztdwC9gMCCVT1NaBubyFkw&index=6
